"","kods","teritorija","Year","FDI","Subject","Measure"
"187","AG","Antigva un Barbuda","2018",NA,"INWARD","MLN_EUR"
"188","AG","Antigva un Barbuda","2019",NA,"INWARD","MLN_EUR"
"189","AG","Antigva un Barbuda","2020",NA,"INWARD","MLN_EUR"
"190","GB","Apvienotā Karaliste","2000",94,"INWARD","MLN_EUR"
"191","GB","Apvienotā Karaliste","2001",104,"INWARD","MLN_EUR"
"192","GB","Apvienotā Karaliste","2002",80,"INWARD","MLN_EUR"
"193","GB","Apvienotā Karaliste","2003",69,"INWARD","MLN_EUR"
"194","GB","Apvienotā Karaliste","2004",67,"INWARD","MLN_EUR"
"195","GB","Apvienotā Karaliste","2005",89,"INWARD","MLN_EUR"
"196","GB","Apvienotā Karaliste","2006",162,"INWARD","MLN_EUR"
"197","GB","Apvienotā Karaliste","2007",187,"INWARD","MLN_EUR"
"198","GB","Apvienotā Karaliste","2008",153,"INWARD","MLN_EUR"
"199","GB","Apvienotā Karaliste","2009",160,"INWARD","MLN_EUR"
"200","GB","Apvienotā Karaliste","2010",181,"INWARD","MLN_EUR"
"201","GB","Apvienotā Karaliste","2011",267,"INWARD","MLN_EUR"
"202","GB","Apvienotā Karaliste","2012",295,"INWARD","MLN_EUR"
"203","GB","Apvienotā Karaliste","2013",335,"INWARD","MLN_EUR"
"204","GB","Apvienotā Karaliste","2014",405,"INWARD","MLN_EUR"
"205","GB","Apvienotā Karaliste","2015",501,"INWARD","MLN_EUR"
"206","GB","Apvienotā Karaliste","2016",420,"INWARD","MLN_EUR"
"207","GB","Apvienotā Karaliste","2017",432,"INWARD","MLN_EUR"
"208","GB","Apvienotā Karaliste","2018",283,"INWARD","MLN_EUR"
"209","GB","Apvienotā Karaliste","2019",210,"INWARD","MLN_EUR"
"210","GB","Apvienotā Karaliste","2020",320,"INWARD","MLN_EUR"
"211","AE","Apvienotie Arābu Emirāti","2000",NA,"INWARD","MLN_EUR"
"212","AE","Apvienotie Arābu Emirāti","2001",NA,"INWARD","MLN_EUR"
"213","AE","Apvienotie Arābu Emirāti","2002",NA,"INWARD","MLN_EUR"
"214","AE","Apvienotie Arābu Emirāti","2003",NA,"INWARD","MLN_EUR"
"215","AE","Apvienotie Arābu Emirāti","2004",NA,"INWARD","MLN_EUR"
"216","AE","Apvienotie Arābu Emirāti","2005",NA,"INWARD","MLN_EUR"
"217","AE","Apvienotie Arābu Emirāti","2006",NA,"INWARD","MLN_EUR"
"218","AE","Apvienotie Arābu Emirāti","2007",0,"INWARD","MLN_EUR"
"219","AE","Apvienotie Arābu Emirāti","2008",NA,"INWARD","MLN_EUR"
"220","AE","Apvienotie Arābu Emirāti","2009",NA,"INWARD","MLN_EUR"
"221","AE","Apvienotie Arābu Emirāti","2010",NA,"INWARD","MLN_EUR"
"222","AE","Apvienotie Arābu Emirāti","2011",NA,"INWARD","MLN_EUR"
"223","AE","Apvienotie Arābu Emirāti","2012",3,"INWARD","MLN_EUR"
"224","AE","Apvienotie Arābu Emirāti","2013",2,"INWARD","MLN_EUR"
"225","AE","Apvienotie Arābu Emirāti","2014",7,"INWARD","MLN_EUR"
"226","AE","Apvienotie Arābu Emirāti","2015",0,"INWARD","MLN_EUR"
"227","AE","Apvienotie Arābu Emirāti","2016",3,"INWARD","MLN_EUR"
"228","AE","Apvienotie Arābu Emirāti","2017",2,"INWARD","MLN_EUR"
"229","AE","Apvienotie Arābu Emirāti","2018",11,"INWARD","MLN_EUR"
"230","AE","Apvienotie Arābu Emirāti","2019",15,"INWARD","MLN_EUR"
"231","AE","Apvienotie Arābu Emirāti","2020",17,"INWARD","MLN_EUR"
"232","AR","Argentīna","2000",NA,"INWARD","MLN_EUR"
"233","AR","Argentīna","2001",NA,"INWARD","MLN_EUR"
"234","AR","Argentīna","2002",NA,"INWARD","MLN_EUR"
"235","AR","Argentīna","2003",NA,"INWARD","MLN_EUR"
"236","AR","Argentīna","2004",NA,"INWARD","MLN_EUR"
"237","AR","Argentīna","2005",NA,"INWARD","MLN_EUR"
"238","AR","Argentīna","2006",NA,"INWARD","MLN_EUR"
"239","AR","Argentīna","2007",NA,"INWARD","MLN_EUR"
"240","AR","Argentīna","2008",NA,"INWARD","MLN_EUR"
"241","AR","Argentīna","2009",NA,"INWARD","MLN_EUR"
"242","AR","Argentīna","2010",NA,"INWARD","MLN_EUR"
"243","AR","Argentīna","2011",NA,"INWARD","MLN_EUR"
"244","AR","Argentīna","2012",NA,"INWARD","MLN_EUR"
"245","AR","Argentīna","2013",NA,"INWARD","MLN_EUR"
"246","AR","Argentīna","2014",0,"INWARD","MLN_EUR"
"247","AR","Argentīna","2015",0,"INWARD","MLN_EUR"
"248","AR","Argentīna","2016",0,"INWARD","MLN_EUR"
"249","AR","Argentīna","2017",0,"INWARD","MLN_EUR"
"250","AR","Argentīna","2018",0,"INWARD","MLN_EUR"
"251","AR","Argentīna","2019",0,"INWARD","MLN_EUR"
"252","AR","Argentīna","2020",0,"INWARD","MLN_EUR"
"253","AM","Armēnija","2000",0,"INWARD","MLN_EUR"
"254","AM","Armēnija","2001",0,"INWARD","MLN_EUR"
"255","AM","Armēnija","2002",0,"INWARD","MLN_EUR"
"256","AM","Armēnija","2003",0,"INWARD","MLN_EUR"
"257","AM","Armēnija","2004",0,"INWARD","MLN_EUR"
"258","AM","Armēnija","2005",NA,"INWARD","MLN_EUR"
"259","AM","Armēnija","2006",NA,"INWARD","MLN_EUR"
"260","AM","Armēnija","2007",NA,"INWARD","MLN_EUR"
"261","AM","Armēnija","2008",NA,"INWARD","MLN_EUR"
"262","AM","Armēnija","2009",NA,"INWARD","MLN_EUR"
"263","AM","Armēnija","2010",NA,"INWARD","MLN_EUR"
"264","AM","Armēnija","2011",0,"INWARD","MLN_EUR"
"265","AM","Armēnija","2012",0,"INWARD","MLN_EUR"
"266","AM","Armēnija","2013",NA,"INWARD","MLN_EUR"
"267","AM","Armēnija","2014",42,"INWARD","MLN_EUR"
"268","AM","Armēnija","2015",45,"INWARD","MLN_EUR"
"269","AM","Armēnija","2016",51,"INWARD","MLN_EUR"
"270","AM","Armēnija","2017",61,"INWARD","MLN_EUR"
"271","AM","Armēnija","2018",59,"INWARD","MLN_EUR"
"272","AM","Armēnija","2019",56,"INWARD","MLN_EUR"
"273","AM","Armēnija","2020",52,"INWARD","MLN_EUR"
"274","noEU","Ārpus ES 27 (kopā)","2000",905,"INWARD","MLN_EUR"
"275","noEU","Ārpus ES 27 (kopā)","2001",1117,"INWARD","MLN_EUR"
"276","noEU","Ārpus ES 27 (kopā)","2002",928,"INWARD","MLN_EUR"
"277","noEU","Ārpus ES 27 (kopā)","2003",1001,"INWARD","MLN_EUR"
"278","noEU","Ārpus ES 27 (kopā)","2004",1192,"INWARD","MLN_EUR"
"279","noEU","Ārpus ES 27 (kopā)","2005",1338,"INWARD","MLN_EUR"
"280","noEU","Ārpus ES 27 (kopā)","2006",1783,"INWARD","MLN_EUR"
"281","noEU","Ārpus ES 27 (kopā)","2007",2030,"INWARD","MLN_EUR"
"282","noEU","Ārpus ES 27 (kopā)","2008",2004,"INWARD","MLN_EUR"
"283","noEU","Ārpus ES 27 (kopā)","2009",1983,"INWARD","MLN_EUR"
"284","noEU","Ārpus ES 27 (kopā)","2010",2271,"INWARD","MLN_EUR"
"285","noEU","Ārpus ES 27 (kopā)","2011",2785,"INWARD","MLN_EUR"
"286","noEU","Ārpus ES 27 (kopā)","2012",3125,"INWARD","MLN_EUR"
