"","pays1","pays2","dist"
"201","Latvia","Sierra Leone",5830.41150474002
"202","Latvia","Singapore",8983.25260993313
"203","Latvia","Sint Eustatius",8033.27037998493
"204","Latvia","Sint Maarten",7985.91903494511
"205","Latvia","Slovakia",728.286953154049
"206","Latvia","Slovenia",1076.45590109169
"207","Latvia","Solomon Islands",12852.7842203549
"208","Latvia","Somalia",5099.6322840253
"209","Latvia","South Africa",8626.45232801946
"210","Latvia","South Georgia",13295.255660046
"211","Latvia","South Korea",7029.93646112175
"212","Latvia","South Sandwich Islands",13372.6755027873
"213","Latvia","South Sudan",4849.10593020643
"214","Latvia","Spain",1984.59979420445
"215","Latvia","Sri Lanka",6809.04479954713
"216","Latvia","Sudan",3736.65306597899
"217","Latvia","Suriname",8550.14879174593
"218","Latvia","Swaziland",9031.39924976759
"219","Latvia","Sweden",145.70961668765
"220","Latvia","Switzerland",1235.88801285845
"221","Latvia","Syria",2220.00158205825
"222","Latvia","Taiwan",7778.22089405561
"223","Latvia","Tajikistan",3408.71678892071
"224","Latvia","Tanzania",6293.27044974676
"225","Latvia","Thailand",6958.84052681752
"226","Latvia","Timor-Leste",11214.4156243927
"227","Latvia","Tobago",8445.54546072532
"228","Latvia","Togo",5297.44394974313
"229","Latvia","Tonga",15333.7725874303
"230","Latvia","Trinidad",8514.04384435479
"231","Latvia","Tunisia",2241.03258850071
"232","Latvia","Turkey",1510.30104615285
"233","Latvia","Turkmenistan",2366.56143438644
"234","Latvia","Turks and Caicos Islands",8165.02280336725
"235","Latvia","Uganda",5743.04857192294
"236","Latvia","UK",1306.75318187066
"237","Latvia","Ukraine",420.05983494657
"238","Latvia","United Arab Emirates",4005.45168394462
"239","Latvia","Uruguay",12027.3331647257
"240","Latvia","USA",5638.98382011492
"241","Latvia","Uzbekistan",2304.81993006207
"242","Latvia","Vanuatu",14101.934609
"243","Latvia","Vatican",1693.3681508095
"244","Latvia","Venezuela",8582.69744371545
"245","Latvia","Vietnam",6966.83285977486
"246","Latvia","Virgin Islands, British",8003.04535536609
"247","Latvia","Virgin Islands, US",8060.59121206701
"248","Latvia","Wallis and Futuna",14700.6380527765
"249","Latvia","Western Sahara",3944.50085669558
"250","Latvia","Yemen",4455.21413703779
"251","Latvia","Zambia",7088.10472866167
"252","Latvia","Zimbabwe",7907.3628013071
