"Preču plūsma,""Valstis"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"""
"Imports,""MP Ziemeļu Marianas Salas"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""MR Mauritānija"",0,35154,50795,25866,94612,213036,127795,61954,481,330,0,215549,499,343,32480,1073247,1556"
"Imports,""MS Montserrata"",0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,130"
"Imports,""MT Malta"",1007289,273157,302250,738210,616110,520170,320901,371773,646625,585127,1084550,1644032,919240,1358320,909287,944580,1134480"
"Imports,""MU Maurīcija"",118549,79797,6756,452,8797,1940,19579,76233,140774,204020,163117,100309,111534,125149,117883,265896,90050"
"Imports,""MV Maldīvija"",0,0,0,152,0,0,0,3345,0,167,0,6,94,0,2494,53,132"
"Imports,""MW Malāvija"",318835,166900,96609,25452,108532,4,15552,0,0,0,0,0,5,0,0,60,166"
"Imports,""MX Meksika"",1422302,2046889,2714480,4428670,1457413,2570905,2955400,4600858,3563813,5157222,5051881,4888789,5987049,20747149,17501280,12936616,13504989"
"Imports,""MZ Mozambika"",0,0,0,0,7738,0,682,3576,0,0,288408,0,0,0,0,0,132"
"Imports,""NA Namībija"",6461,14687,23900,5625,0,0,0,0,34320,0,29178,2159,0,698,3260,1352,655"
"Imports,""NC Jaunkaledonija"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""NE Nigēra"",0,388,889,2183,12510,0,0,0,0,0,0,0,0,0,176000,0,0"
"Imports,""NG Nigērija"",42701,15043,9122,18523,86221,58521,76325,75069,117609,68445,60947,47004,63617,205368,269521,235421,204743"
"Imports,""NI Nikaragva"",13143,13001,10216,3271,8556,8722,9408,18416,22881,34811,47328,54370,69658,40661,45804,64246,12740"
"Imports,""NL Nīderlande"",243658456,293270225,356613824,389456021,270988278,332989707,395109929,424452958,463217344,460735827,465070690,509132178,561637995,551922508,635388619,651476427,582619702"
"Imports,""NO Norvēģija"",82110337,182801139,114896392,81888817,94819282,88284921,93716111,69464268,59104046,59454270,49127307,42998202,48054961,65740278,65188969,58460961,60415345"
"Imports,""NP Nepāla"",45762,20722,20776,6324,9319,20036,13615,9958,22117,28452,41339,44681,45459,34229,32504,5120,50916"
"Imports,""NR Nauru"",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0"
"Imports,""NU Niue"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""NZ Jaunzēlande"",1320496,1722828,1867503,1389863,621669,1173344,1937974,2187361,1932558,2413529,3219213,3101449,2571354,2200108,2566564,2134338,1815038"
"Imports,""OM Omāna"",51222,372789,333647,35537,0,0,0,0,21175,0,348543,0,89925,17859,0,1080,50524"
"Imports,""PA Panama"",55454,89970,18976,2047,0,385282,304978,236428,28202,15205,2878,11440,4921,18131,15957,29303,124012"
"Imports,""PE Peru"",617563,634993,185772,160487,115138,80725,68905,105327,235169,66798,209526,81807,369995,485176,965579,1747004,966073"
"Imports,""PF Franču Polinēzija"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""PG Papua-Jaungvineja"",0,0,0,0,0,0,0,2662,0,0,57721,0,63911,0,67392,0,53742"
"Imports,""PH Filipīnas"",527612,433914,609969,760576,366404,465240,1007273,1250061,1377613,1556283,886768,999825,1238553,1267571,1679678,1685680,1193887"
"Imports,""PY Paragvaja"",19849,1611,58834,36849,2053,778,11150,13441,24724,42416,58794,60201,1592,7603,2210,121625,107995"
"Imports,""PK Pakistāna"",906507,2246317,3044105,2782279,1368614,2996308,2731580,2920739,3278608,3721643,3319964,4018470,5056696,3964718,5862458,7213247,4237447"
"Imports,""PL Polija"",440987526,653628120,774001884,769341407,565191668,662558200,889212689,1077243989,1246066763,1435799851,1378691002,1314538219,1273082625,1394609264,1494829561,1542483249,1345588022"
"Imports,""PM Senpjēra un Mikelona"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""PR Puertoriko"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""PS Okupētā Palestīnas teritorija"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81"
"Imports,""PT Portugāle"",13759723,22307304,23989839,21173267,7253566,9242620,10071311,14078891,16790619,30669577,24462719,18090555,23553182,21807402,29998532,27874658,20632195"
"Imports,""PW Palau"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""QA Katara"",0,0,0,0,0,0,0,0,0,0,0,32360,242987,365,48855,71337,29246"
"Imports,""QQ Kuģu un lidmašīnu apgāde"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""QS Krājumi un rezerves tirdzn. ar trešajām valstīm"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""QU Nezināma valsts"",114818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""QW Bez sadalījuma pa valstīm (tirdzn. ar trešajām valstīm)"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""QZ Nav norādīts komerciālu vai militāru iemeslu dēļ (tirdzn. ar trešajām valstīm)"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""RO Rumānija"",1872031,4021451,7883480,8235324,13704133,6206612,18249338,14735938,24131769,20472504,17920916,17245719,20458877,27971101,72021815,55504585,42298686"
"Imports,""RU Krievijas Federācija (Krievija)"",588787771,710103210,929833129,1140105261,719537537,842019811,937859651,1177812713,1057667227,1085278218,1131921326,990030732,1094315682,1321655248,1080705604,931298809,1258827944"
"Imports,""RW Ruanda"",0,0,0,0,0,0,0,0,0,0,1599,2065,33572,84000,405,546,164"
"Imports,""SA Saūda Arābija"",85462,135288,120208,76572,0,11671,18112,123206,39100,150881,382924,80234,429605,128836,149558,66105,93997"
"Imports,""SB Zālamana salas"",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0"
"Imports,""SC Seišelas"",6560,10383,565,2770,3873,153711,724356,790983,882567,758224,384477,668730,768658,592822,779929,547408,1124977"
"Imports,""SD Sudāna"",0,0,2902,7649,1060,3130,4851,1345,10308,12,1979,0,0,100,0,0,0"
"Imports,""SE Zviedrija"",353618496,456741922,540455822,473297212,239412974,298625402,420663246,421703294,437932219,395895049,413989453,435233744,456697116,489506094,522340399,511804122,417234662"
"Imports,""SG Singapūra"",1712299,4129446,2490222,3541614,1760268,2153430,4617326,5026580,5191141,4175993,3086504,4217357,10757605,5231455,6953859,6515919,6866717"
"Imports,""SH Sv. Helēnas Sala, Debesbraukšanas un Tristana da Kuņas salas"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""SI Slovēnija"",13818661,16015862,19769985,24874341,22613501,26315884,30539898,33673140,37659563,38784480,30068575,38857788,40429951,34504324,37704962,38725156,35598812"
"Imports,""SY Sīrijas Arābu Republika (Sīrija)"",86343,2284,10970,8999,4216,5432,129863,0,0,0,39809,14039,2198,0,0,0,0"
"Imports,""SK Slovākija"",48033221,60631693,71050426,107741260,44739055,60596187,88599527,124120389,116125169,122718043,132936874,146520438,138644712,142039184,145692005,131689369,101585173"
"Imports,""SL Sjerraleone"",0,0,99022,5711,0,0,363,0,0,237296,0,0,0,19661,119,0,31"
"Imports,""SM Sanmarīno"",122212,129833,205977,176707,22533,12807,71778,115305,173598,301959,80795,117077,156615,283320,335135,315796,276658"
"Imports,""SN Senegāla"",0,162,0,0,0,0,0,0,1228,0,218120,53518,62,844,0,37254,173763"
"Imports,""SO Somālija"",0,0,0,6321,5524,3079,0,1662,0,4099,0,0,0,0,0,0,0"
"Imports,""SR Surinama"",0,0,0,0,0,0,0,0,0,0,477,0,0,892,0,17797,13892"
"Imports,""SS Dienvidsudāna"",0,0,0,0,0,0,0,0,0,0,4785,869,5914,0,4344,1625,0"
"Imports,""ST Santome un Prinsipi"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""SV Salvadora"",449,391,1656,179,627,22056,137,365,388,22775,1092,3056,1114,2531,21096,26656,59848"
"Imports,""SX Senmartēna"",0,0,0,0,0,0,0,0,0,14,0,5,2484,408,305,3585,268"
"Imports,""SZ Svatini (bijusī Svazilenda)"",0,0,0,0,44313,0,0,0,0,0,42,182,0,0,0,88,0"
"Imports,""TC Tērksas un Kaikosas salas"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""TD Čada"",0,0,0,0,0,0,0,0,39,0,401,3256,6580,313117,0,0,0"
"Imports,""TF Francijas Dienvidjūru teritorijas"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0"
"Imports,""TG Togo"",4984,0,0,0,0,0,0,0,0,4064,585,0,0,0,0,0,0"
"Imports,""TH Taizeme"",6114672,8835163,11639573,10265974,4224614,8891162,31628014,10530094,10200261,11802887,6986604,8066234,9866131,12936680,15565932,15093029,18697704"
"Imports,""TJ Tadžikistāna"",613867,293673,661260,187948,66969,7291,17489,0,0,3330,6399,123928,279112,11577,135,19873,882"
"Imports,""TK Tokelau"",0,0,0,0,0,0,0,6787,0,211,0,0,0,1301,141,0,0"
"Imports,""TL Austrumtimora"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""TM Turkmenistāna"",276407,815894,618081,222969,187338,84065,486549,7012,52189,33197,31780,0,15,19533,60511,12973,37621"
"Imports,""TN Tunisija"",143862,40055,21586,270727,151339,98556,65509,293847,293500,398663,250483,277902,281219,256091,425184,287586,210949"
"Imports,""TO Tonga"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0"
"Imports,""TR Turcija"",43528495,53088537,64854313,45931207,28229358,39053134,47841429,62777774,66353524,96054842,77176818,79190113,93679470,106548001,110370497,98174592,93109770"
"Imports,""TT Trinidāda un Tobāgo"",0,0,0,0,0,0,0,0,0,0,0,224,928,57,0,0,0"
"Imports,""TV Tuvalu"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""TW Taivāna"",20878508,32889388,35814548,34119862,17613766,25502693,34329968,31062047,40761395,50406016,72081764,73548880,83469073,74781040,68196709,74997723,79283406"
"Imports,""TZ Tanzānija"",1224,5938,0,8668,15639,36744,43683,22861,14147,99213,7177,113714,122908,46015,0,576,103221"
"Imports,""UA Ukraina"",132253795,95449507,110732556,100391927,81194401,93053755,138149540,174541653,129487533,109087812,95976306,110456870,150276250,163049584,185146864,182234527,160295149"
"Imports,""UG Uganda"",144116,35605,0,600,0,0,1088,3990,7995,12977,10807,227613,528891,467537,532210,571876,43594"
"Imports,""UY Urugvaja"",55632,16977,41625,74275,56244,260774,212382,16159,125046,108591,46111,56711,12589,66642,48858,115399,68456"
"Imports,""UM ASV Mazās aizjūras salas"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,1332,50"
"Imports,""US Amerikas Savienotās Valstis"",73549405,83325631,126181383,104263553,58286851,47684236,77303722,94058451,83033144,72616794,87652261,102320050,172677592,266451010,151267905,153149523,143911499"
"Imports,""UZ Uzbekistāna"",11890459,6180044,7732866,8952340,2652244,6750156,7015200,6583650,9210311,8951365,9135685,8028272,8072627,9600263,8583675,7564800,10060718"
"Imports,""VA Vatikāns"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111"
"Imports,""VC Sentvinsenta un Grenadīnas"",0,0,922,0,0,616,0,0,0,0,0,110,0,0,0,0,0"
"Imports,""VE Venecuēlas Bolivāra Republika (Venecuēla)"",3873,124,2883,0,0,494,11292,1345,1896,284,0,0,386,26145770,0,31742,0"
"Imports,""VG Britu Virdžīnas"",38932,425648,489341,74726,1484,23944,0,235707,2991,184441,0,0,52408,123,16690,0,23"
"Imports,""VI ASV Virdžīnu salas"",0,0,0,0,261,0,0,0,194,0,109,129,0,0,0,0,0"
"Imports,""VN Vjetnama"",2657863,3054476,3679778,5698571,5291931,5578214,14484631,45274543,85098101,82468678,103373708,110124127,118118296,134988750,164102843,170462700,134163366"
"Imports,""VU Vanuatu"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,133"
"Imports,""WS Samoa"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""XC Seūta"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""XK Kosova"",4352,10465,0,2096,10411,5494,13436,1490,640,0,529,25244,683776,64566,162849,19704,141763"
"Imports,""XL Meliļa"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""XM Melnkalne"",0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""XS Serbija"",1244750,5584781,10571999,4093299,3243464,3053424,3312587,2481340,3123633,5554935,3996908,2938000,3672659,4042910,6564138,6816511,7821392"
"Imports,""ZA Dienvidāfrika"",1112462,986213,1547160,2083395,882649,1386198,784411,1729524,1061094,882394,1276196,1309468,1554562,2068316,5118431,1456850,1225754"
"Imports,""ZM Zambija"",0,63330,0,125319,0,0,47,2300,0,0,0,6371,993,0,271,16867,572"
"Imports,""ZW Zimbabve"",171884,126858,37023,109518,167651,0,215,0,21,10914,44890,497,0,235,214928,0,8"
"Imports,""QY Nav norādīts komerciālu vai militāru iemeslu dēļ (tirdzn. ES ietvaros)"",0,0,0,0,0,109729636,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""QR Kuģu un lidmašīnu apgāde ES"",7930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Imports,""QV Bez sadalījuma pa valstīm (tirdzn. ES ietvaros)"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
