"Preču plūsma,""Valstis"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"",""2021"""
"Eksports,""GU Guama"",0,0,0,0,0,0,0,58109,18480,27945,14996,11169,38922,9070,26130,10295,10492"
"Eksports,""GW Gvineja-Bisava"",0,0,1544,4226,1751684,2829,193989,38672,102857,63006,42527,28916,0,9900,7450,14481,0"
"Eksports,""HK Honkonga"",2889953,1981301,2943744,5889781,4749143,4792923,9087061,7778657,10199956,22236250,33918123,23415062,29906156,26023673,36157333,39100341,30996807"
"Eksports,""HN Hondurasa"",34720,68270,88586,109381,228220,184524,170017,218382,336019,284616,553819,800590,868542,592546,919217,791727,947005"
"Eksports,""HR Horvātija"",2460184,1258317,1817159,1475887,1326441,4286249,2307602,3708430,3652214,5152801,2493440,4109508,6476335,8512121,12806661,14675730,14722305"
"Eksports,""HT Haiti"",6953,14489,9617,4480,22084,15705,20608,13181,12698,11850611,29640,42849,60508,83406,6780,7807,34323"
"Eksports,""HU Ungārija"",20997567,20290422,19653018,19846727,19223124,25848597,24407131,21068015,24844825,69778012,48979314,43133400,49099369,65617199,64981980,70097771,84038890"
"Eksports,""ID Indonēzija"",111965,531381,769127,1630586,1248683,5692201,3426890,1677245,2383146,873389,12605655,903421,5569592,15220725,22102015,15215262,11477062"
"Eksports,""IE Īrija"",62365335,68432319,63044792,71761197,23042121,26728357,21885766,30377556,20610314,23494492,26499515,29015654,37560177,52102719,52592963,55888053,51181873"
"Eksports,""IL Izraēla"",5529151,6886868,6991507,7287640,11322771,15632930,15418032,21411085,22477184,24207098,25705906,25456659,34621931,35616388,31013372,61470566,33894130"
"Eksports,""IN Indija"",2540362,6393801,8279069,8946866,8241027,35995952,75229929,41875857,21933406,14891345,20940014,28743295,24469769,33009603,28643858,20963001,17992691"
"Eksports,""IO Britu Indijas okeāna teritorija"",0,0,0,0,1780,0,0,0,2304,0,0,0,0,0,0,0,0"
"Eksports,""IQ Irāka"",467890,223434,244670,803748,1325198,903055,1151497,1364076,1442413,1660013,2883887,3553200,1990457,1950334,3370534,2155137,1570948"
"Eksports,""IR Irānas Islāma Republika"",665179,67646,575496,7265082,7063382,982036,845462,71616011,88801200,83902974,5134014,2912043,2982827,5073364,203018,122188,368887"
"Eksports,""IS Islande"",25296368,33956730,40706246,27532301,11320898,9818830,11290698,13534146,12720860,14114028,14765004,18616032,26702549,30665646,31434832,30251183,24745839"
"Eksports,""IT Itālija"",66943336,96277633,88088850,108428575,82838234,130457396,130549110,110710745,127407119,145894798,140540024,144482023,176500435,200974871,192495636,213175488,171100442"
"Eksports,""YE Jemena"",703766,933732,808219,4092806,5310043,6025538,93843,50714,113717,662907,93797,4936490,92499,41612,300661,118628,178586"
"Eksports,""YT Majota"",0,0,12699,16590,9681,16901,5890,8001,28098,0,0,0,0,0,0,0,0"
"Eksports,""YU Serbija un Melnkalne"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Eksports,""JM Jamaika"",0,0,884,0,0,12062,11501,15494,20968,11266,24249,42839,486827,34467,38287,28160,15387"
"Eksports,""JO Jordānija"",307640,265576,381427,565901,659262,795810,3021753,3498579,2302356,2932737,2716403,2690809,3912742,2234563,2434529,1639522,1544476"
"Eksports,""JP Japāna"",35306044,33812695,28589839,21868997,25035799,33633635,34792370,34615298,44090952,32989229,39592073,48524194,50525675,53343194,56637330,50098966,46133410"
"Eksports,""KE Kenija"",438453,422670,370151,161177,5059764,158935,137778,200740,368241,6501299,14091428,22447716,22636739,579536,37637415,22213864,10912525"
"Eksports,""KG Kirgizstāna"",1043248,2113704,2820847,2793214,2778243,3651104,12766704,7613413,11788425,12650860,11272554,12132799,11515658,9112781,9814963,8771520,5083943"
"Eksports,""KH Kambodža"",114031,216743,253481,339779,216443,38041,1293589,543213,17561,67246,105932,152456,208305,529480,582682,417386,1753149"
"Eksports,""KI Kiribati"",0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0"
"Eksports,""KY Kaimanu salas"",272545,156009,335237,16463,99518,55280,12348,42493,29891,36714,45213,29996,44001,26881,49569,49275,104150"
"Eksports,""KM Komoru Salas"",8142,34067,16302,62471,7305,0,0,9176,57488,98915,29564,0,0,0,0,5240,0"
"Eksports,""KN Sentkitsa un Nevisa"",431244,4321,30047,222430,75538,157947,37387,18188,192881,556148,264232,53111,62637,75026,508839,38523,11888"
"Eksports,""KP Ziemeļkoreja"",0,0,0,0,0,0,0,0,47434,0,69446,0,0,68296,0,0,0"
"Eksports,""KR Dienvidkoreja"",6111289,8942860,12797717,12397487,8801483,9503408,19375340,24489211,25655738,39898087,41885561,48863002,61798754,61683669,71370400,77364875,67421876"
